Date,Death_Rate,New_Cases_Smooth,New_Death_Smooth
1/23/2020,0.028963415,100,1
1/24/2020,0.02869288,193,5
1/25/2020,0.029986053,293,8
1/26/2020,0.026937618,390,10
1/27/2020,0.028385773,474,13
1/28/2020,0.023689878,836,19
1/29/2020,0.021749716,801,17
1/30/2020,0.020904229,1082,22
1/31/2020,0.021579107,1282,27
2/1/2020,0.021616229,1513,31
2/2/2020,0.021636765,2094,44
2/3/2020,0.021482115,2422,49
2/4/2020,0.020637977,2617,52
2/5/2020,0.020446568,3067,62
2/6/2020,0.020623579,3223,66
2/7/2020,0.020977187,3487,72
2/8/2020,0.021779613,3575,78
2/9/2020,0.022629741,3329,78
2/10/2020,0.023792764,3249,84
2/11/2020,0.024943463,2968,89
2/12/2020,0.024845134,2487,79
2/13/2020,0.022794105,4200,105
2/14/2020,0.0228568,4622,115
2/15/2020,0.024246567,4528,123
2/16/2020,0.024977774,4398,123
2/17/2020,0.025660046,4311,122
2/18/2020,0.026919416,4276,128
2/19/2020,0.028301761,4282,143
2/20/2020,0.029724722,2196,125
2/21/2020,0.029532985,1359,104
2/22/2020,0.031521014,1314,113
2/23/2020,0.031518698,1058,100
2/24/2020,0.033321495,863,108
2/25/2020,0.033968278,728,100
2/26/2020,0.034308741,805,92
2/27/2020,0.034271218,919,81
2/28/2020,0.034370317,1033,88
2/29/2020,0.03443909,1048,69
3/1/2020,0.034118519,1342,75
3/2/2020,0.034360044,1543,65
3/3/2020,0.034188961,1794,64
3/4/2020,0.034353688,1989,69
3/5/2020,0.034355147,2184,76
3/6/2020,0.034134919,2543,84
3/7/2020,0.033791801,2867,89
3/8/2020,0.034804505,3078,116
3/9/2020,0.035156319,3416,130
3/10/2020,0.036065352,3723,159
3/11/2020,0.036658081,4458,195
3/12/2020,0.037144064,5037,226
3/13/2020,0.037137426,6359,280
3/14/2020,0.037283265,7319,325
3/15/2020,0.038662711,8379,384
3/16/2020,0.039305883,9834,454
3/17/2020,0.040401586,11315,530
3/18/2020,0.041393353,12760,613
3/19/2020,0.041357186,15667,728
3/20/2020,0.042343131,18004,871
3/21/2020,0.043517426,21085,1057
3/22/2020,0.044078747,24355,1203
3/23/2020,0.044323671,28356,1388
3/24/2020,0.045407451,32176,1602
3/25/2020,0.04644871,37016,1875
3/26/2020,0.046828243,41830,2148
3/27/2020,0.047638606,46742,2432
3/28/2020,0.048429873,52048,2734
3/29/2020,0.049436764,55237,2990
3/30/2020,0.050495423,58450,3287
3/31/2020,0.051510072,63447,3637
4/1/2020,0.053483333,67746,4100
4/2/2020,0.054917604,70828,4508
4/3/2020,0.056369572,73709,4902
4/4/2020,0.058556868,72369,5205
4/5/2020,0.059435908,74600,5470
4/6/2020,0.060519414,75944,5727
4/7/2020,0.063529268,74793,6240
4/8/2020,0.064639767,74836,6349
4/9/2020,0.066091556,75455,6632
4/10/2020,0.067207944,75797,6820
4/11/2020,0.068055234,77973,6901
4/12/2020,0.066837402,84668,6978
4/13/2020,0.067497709,84276,7006
4/14/2020,0.068249737,86515,6842
4/15/2020,0.069726981,85925,7061
4/16/2020,0.070137998,87019,7005
4/17/2020,0.071206552,87204,7149
4/18/2020,0.071561569,87597,7131
4/19/2020,0.071543831,81546,7071
